timestamp,scenario,operating_state,product,station_a_suction_pressure_bar,station_a_discharge_pressure_bar,station_b_suction_pressure_bar,station_b_discharge_pressure_bar,station_c_receipt_pressure_bar,flow_in_m3h,flow_mid_m3h,flow_out_m3h,pump_1_speed_rpm,pump_1_power_kw,pump_1_status,pump_2_speed_rpm,pump_2_power_kw,pump_2_status,mainline_valve_position_pct,delivery_valve_position_pct,product_temperature_c,product_density_kgm3,product_viscosity_cp,pressure_drop_ab_bar,pressure_drop_bc_bar,flow_imbalance_m3h,leak_active,leak_alarm,pump_trip_active,valve_closure_active,sensor_fault_active
2026-01-01T00:00:00Z,small_leak,NORMAL,crude,7.515,68.203,49.792,48.427,32.429,1200.692,1201.234,1199.993,1479.16,178.42,1,0.0,0.0,0,99.83,92.03,34.02,860.352,12.0185,18.284,15.959,0.0,0,0,0,0,0
2026-01-01T00:00:01Z,small_leak,NORMAL,crude,7.516,68.063,50.444,48.939,33.532,1199.361,1200.609,1199.708,1483.72,184.86,1,0.0,0.0,0,100.08,91.89,34.031,859.838,12.039,17.563,15.603,0.002,0,0,0,0,0
2026-01-01T00:00:02Z,small_leak,NORMAL,crude,7.444,68.002,51.202,49.695,34.509,1200.519,1201.967,1199.307,1481.04,187.82,1,0.0,0.0,0,99.79,91.92,34.019,859.888,11.9614,16.874,15.253,0.007,0,0,0,0,0
2026-01-01T00:00:03Z,small_leak,NORMAL,crude,7.568,68.09,51.874,50.489,35.546,1198.712,1195.793,1201.182,1478.89,181.57,1,0.0,0.0,0,100.08,91.88,33.996,860.389,12.0274,16.216,14.908,0.016,0,0,0,0,0
2026-01-01T00:00:04Z,small_leak,NORMAL,crude,7.444,67.995,52.423,51.076,36.511,1200.156,1199.803,1201.881,1478.5,184.99,1,0.0,0.0,0,100.07,91.96,33.99,860.073,11.9566,15.588,14.568,0.031,0,0,0,0,0
2026-01-01T00:00:05Z,small_leak,NORMAL,crude,7.416,68.042,53.128,51.616,37.395,1200.204,1198.366,1200.93,1481.31,181.38,1,0.0,0.0,0,100.15,91.9,34.016,859.86,11.9852,14.988,14.234,0.052,0,0,0,0,0
2026-01-01T00:00:06Z,small_leak,NORMAL,crude,7.526,68.021,53.654,52.242,38.213,1202.603,1197.186,1199.92,1480.68,180.9,1,0.0,0.0,0,100.08,92.01,33.978,860.171,11.9965,14.415,13.906,0.079,0,0,0,0,0
2026-01-01T00:00:07Z,small_leak,NORMAL,crude,7.479,68.009,54.134,52.757,39.113,1200.457,1199.685,1202.978,1479.88,184.99,1,0.0,0.0,0,99.99,92.12,34.082,859.922,12.0013,13.868,13.584,0.114,0,0,0,0,0
2026-01-01T00:00:08Z,small_leak,NORMAL,crude,7.483,67.946,54.619,53.258,40.041,1201.822,1199.129,1200.293,1478.61,182.84,1,0.0,0.0,0,99.96,91.89,33.991,860.117,11.9989,13.345,13.268,0.156,0,0,0,0,0
2026-01-01T00:00:09Z,small_leak,NORMAL,crude,7.551,67.969,55.17,53.73,40.697,1199.94,1199.786,1198.769,1481.45,187.61,1,0.0,0.0,0,100.22,92.0,33.982,859.963,11.9756,12.846,12.957,0.207,0,0,0,0,0
2026-01-01T00:00:10Z,small_leak,NORMAL,crude,7.535,68.104,55.633,54.12,41.651,1200.407,1202.542,1198.43,1483.63,177.34,1,0.0,0.0,0,100.02,92.08,33.942,859.839,11.9451,12.37,12.653,0.264,0,0,0,0,0
2026-01-01T00:00:11Z,small_leak,NORMAL,crude,7.604,68.066,56.025,54.55,42.213,1200.695,1198.589,1200.725,1480.03,175.9,1,0.0,0.0,0,100.28,92.05,34.003,859.931,12.0326,11.915,12.354,0.33,0,0,0,0,0
2026-01-01T00:00:12Z,small_leak,NORMAL,crude,7.573,67.909,56.634,55.062,43.08,1198.259,1198.853,1201.517,1479.32,181.33,1,0.0,0.0,0,100.06,91.93,34.073,860.136,11.9872,11.481,12.062,0.403,0,0,0,0,0
2026-01-01T00:00:13Z,small_leak,NORMAL,crude,7.586,68.124,57.035,55.511,43.794,1201.286,1198.099,1199.445,1483.37,178.7,1,0.0,0.0,0,100.07,92.17,34.022,859.998,11.9672,11.066,11.775,0.484,0,0,0,0,0
2026-01-01T00:00:14Z,small_leak,NORMAL,crude,7.571,67.916,57.377,55.856,44.441,1197.548,1198.137,1201.812,1481.72,171.83,1,0.0,0.0,0,100.23,91.92,34.065,860.208,11.9834,10.671,11.495,0.572,0,0,0,0,0
2026-01-01T00:00:15Z,small_leak,NORMAL,crude,7.541,67.861,57.758,56.425,44.996,1202.863,1201.525,1201.872,1479.82,180.78,1,0.0,0.0,0,100.04,92.17,34.015,859.891,11.9634,10.293,11.22,0.667,0,0,0,0,0
2026-01-01T00:00:16Z,small_leak,NORMAL,crude,7.597,67.891,58.074,56.56,45.681,1202.311,1199.209,1201.423,1480.66,180.97,1,0.0,0.0,0,99.98,91.91,34.061,860.129,11.9609,9.932,10.951,0.769,0,0,0,0,0
2026-01-01T00:00:17Z,small_leak,NORMAL,crude,7.596,68.031,58.405,57.008,46.359,1202.418,1202.936,1200.66,1481.62,176.57,1,0.0,0.0,0,99.92,92.06,34.02,859.808,12.0386,9.587,10.688,0.877,0,0,0,0,0
2026-01-01T00:00:18Z,small_leak,NORMAL,crude,7.571,67.936,58.618,57.264,47.035,1201.173,1201.38,1201.436,1480.89,182.19,1,0.0,0.0,0,100.0,91.96,34.091,859.828,11.9585,9.258,10.431,0.991,0,0,0,0,0
2026-01-01T00:00:19Z,small_leak,NORMAL,crude,7.554,68.128,59.051,57.769,47.38,1199.574,1195.543,1198.581,1481.7,183.25,1,0.0,0.0,0,99.85,91.95,34.109,859.897,11.9825,8.944,10.18,1.11,0,0,0,0,0
2026-01-01T00:00:20Z,small_leak,NORMAL,crude,7.612,67.954,59.475,57.928,48.055,1201.008,1200.866,1202.504,1481.99,175.65,1,0.0,0.0,0,99.95,91.96,34.066,860.033,11.9284,8.644,9.934,1.234,0,0,0,0,0
2026-01-01T00:00:21Z,small_leak,NORMAL,crude,7.664,67.967,59.769,58.203,48.514,1201.491,1199.808,1201.352,1483.34,186.64,1,0.0,0.0,0,100.28,91.87,34.098,860.093,11.9733,8.358,9.694,1.362,0,0,0,0,0
2026-01-01T00:00:22Z,small_leak,NORMAL,crude,7.612,68.042,59.876,58.446,49.103,1201.812,1203.025,1199.611,1481.3,181.53,1,0.0,0.0,0,100.01,92.09,34.069,860.159,11.9848,8.084,9.46,1.495,0,0,0,0,0
2026-01-01T00:00:23Z,small_leak,NORMAL,crude,7.572,68.031,60.209,58.839,49.612,1203.372,1199.651,1201.818,1482.33,179.44,1,0.0,0.0,0,100.11,91.92,34.082,859.788,11.9305,7.823,9.231,1.631,0,0,0,0,0
2026-01-01T00:00:24Z,small_leak,NORMAL,crude,7.628,67.922,60.43,58.994,50.04,1201.129,1201.978,1199.1,1481.32,178.74,1,0.0,0.0,0,99.92,91.92,34.055,859.846,11.9443,7.574,9.008,1.769,0,0,0,0,0
2026-01-01T00:00:25Z,small_leak,NORMAL,crude,7.663,67.969,60.741,59.196,50.522,1202.318,1199.746,1202.724,1484.2,185.84,1,0.0,0.0,0,100.14,92.0,34.084,859.9,11.9512,7.336,8.789,1.91,0,0,0,0,0
2026-01-01T00:00:26Z,small_leak,NORMAL,crude,7.648,68.024,60.965,59.504,50.907,1201.609,1198.979,1205.32,1482.39,176.45,1,0.0,0.0,0,99.81,91.93,34.167,860.025,11.9384,7.109,8.577,2.053,0,0,0,0,0
2026-01-01T00:00:27Z,small_leak,NORMAL,crude,7.704,67.914,61.252,59.908,51.343,1204.837,1202.248,1195.628,1483.11,179.6,1,0.0,0.0,0,99.58,92.09,34.101,860.067,11.9779,6.892,8.369,2.197,0,0,0,0,0
2026-01-01T00:00:28Z,small_leak,NORMAL,crude,7.617,67.879,61.352,59.866,51.683,1201.794,1201.09,1203.733,1482.93,182.05,1,0.0,0.0,0,100.16,92.05,34.119,859.865,11.9256,6.685,8.167,2.341,0,0,0,0,0
2026-01-01T00:00:29Z,small_leak,NORMAL,crude,7.686,68.067,61.673,60.066,52.117,1204.267,1203.935,1200.714,1482.24,182.94,1,0.0,0.0,0,99.8,92.12,34.094,859.683,11.962,6.487,7.969,2.486,0,0,0,0,0
2026-01-01T00:00:30Z,small_leak,NORMAL,crude,7.633,68.187,61.838,60.347,52.414,1203.664,1199.799,1197.571,1485.29,175.58,1,0.0,0.0,0,99.85,91.91,34.119,860.027,11.9701,6.298,7.777,2.63,0,0,0,0,0
2026-01-01T00:00:31Z,small_leak,NORMAL,crude,7.61,68.116,62.011,60.52,53.004,1203.079,1200.831,1200.407,1481.83,181.1,1,0.0,0.0,0,100.16,92.06,34.145,860.023,11.9963,6.118,7.589,2.773,0,0,0,0,0
